Date;InvoiceNo;CustomerNo;SalesPerson;ProductNo;UnitPrice;Quantity;Amount
14/07/2003;20287;10182;12;4;34,80;30;1044,00
28/12/2003;20288;10596;22;59;55,00;11;605,00
18/09/2003;20289;10234;22;74;24,00;28;672,00
06/12/2003;20290;10867;16;50;10,00;6;60,00
24/12/2003;20291;10763;11;15;123,79;12;1485,48
15/11/2003;20292;10375;6;31;21,05;7;147,35
20/08/2003;20293;10573;7;10;49,30;25;1232,50
23/03/2003;20294;10061;3;4;34,80;19;661,20
04/09/2003;20295;10791;2;33;18,00;20;360,00
18/05/2003;20296;10710;17;39;10,00;2;20,00
04/05/2003;20297;10565;12;49;21,05;48;1010,40
03/10/2003;20298;10349;14;28;18,00;37;666,00
02/07/2003;20299;10385;5;16;19,00;14;266,00
16/12/2003;20300;10802;2;26;123,79;41;5075,39
14/07/2003;20301;10912;22;71;53,00;27;1431,00
30/07/2003;20302;10687;11;28;18,00;27;486,00
27/07/2003;20303;10490;9;74;24,00;30;720,00
29/11/2003;20304;10381;15;7;15,50;48;744,00
18/11/2003;20305;10742;15;61;31,00;5;155,00
03/02/2003;20306;10750;19;48;14,00;8;112,00
27/02/2003;20307;10893;4;58;24,00;2;48,00
27/04/2003;20308;10651;24;18;21,05;47;989,35
13/05/2003;20309;10752;17;9;25,89;26;673,14
11/02/2003;20310;10511;10;50;10,00;3;30,00
13/01/2003;20311;10484;1;70;19,00;3;57,00
04/06/2003;20312;10498;6;21;12,50;48;600,00
22/01/2003;20313;10596;5;53;6,00;27;162,00
31/05/2003;20314;10071;2;11;15,00;5;75,00
18/07/2003;20315;10779;12;10;49,30;44;2169,20
04/06/2003;20316;10943;19;55;9,00;43;387,00
18/09/2003;20317;10527;10;25;36,00;45;1620,00
25/09/2003;20318;10732;6;48;14,00;6;84,00
26/12/2003;20319;10679;25;56;30,00;41;1230,00
29/12/2003;20320;10841;11;15;123,79;18;2228,22
14/08/2003;20321;10288;24;29;43,90;36;1580,40
24/12/2003;20322;10331;19;15;123,79;39;4827,81
14/08/2003;20323;10489;21;7;15,50;34;527,00
26/03/2003;20324;10841;2;3;43,90;27;1185,30
10/04/2003;20325;10250;22;18;21,05;10;210,50
04/05/2003;20326;10814;24;55;9,00;31;279,00
12/08/2003;20327;10184;18;42;7,00;31;217,00
21/01/2003;20328;10581;3;68;12,50;23;287,50
15/03/2003;20329;10807;26;23;32,00;20;640,00
06/07/2003;20330;10064;3;3;43,90;21;921,90
03/07/2003;20331;10922;20;24;23,25;9;209,25
23/04/2003;20332;10148;15;50;10,00;7;70,00
27/09/2003;20333;10011;14;7;15,50;26;403,00
03/06/2003;20334;10984;20;49;21,05;38;799,90
02/07/2003;20335;10812;25;59;55,00;22;1210,00
16/04/2003;20336;10777;10;58;24,00;43;1032,00
10/12/2003;20337;10469;6;52;24,00;8;192,00
05/07/2003;20338;10819;24;35;38,00;40;1520,00
27/12/2003;20339;10930;12;74;24,00;32;768,00
20/09/2003;20340;10808;15;44;53,00;22;1166,00
25/06/2003;20341;10479;24;19;30,00;2;60,00
07/06/2003;20342;10738;19;68;12,50;23;287,50
29/11/2003;20343;10581;9;32;12,00;46;552,00
12/07/2003;20344;10883;9;9;25,89;5;129,45
26/02/2003;20345;10421;20;5;12,50;45;562,50
27/10/2003;20346;10660;2;18;21,05;34;715,70
04/04/2003;20347;10818;21;9;25,89;14;362,46
05/02/2003;20348;10405;16;1;14,00;16;224,00
21/11/2003;20349;10400;3;47;7,00;27;189,00
20/01/2003;20350;10335;2;15;123,79;48;5941,92
27/06/2003;20351;10208;10;60;263,50;46;12121,00
02/07/2003;20352;10239;14;53;6,00;5;30,00
16/06/2003;20353;10134;21;69;9,50;18;171,00
20/12/2003;20354;10669;23;55;9,00;16;144,00
24/02/2003;20355;10845;8;28;18,00;36;648,00
25/02/2003;20356;10665;19;62;18,00;18;324,00
06/11/2003;20357;10098;5;14;263,50;43;11330,50
11/11/2003;20358;10303;21;5;12,50;12;150,00
26/02/2003;20359;10617;13;64;9,00;50;450,00
26/04/2003;20360;10580;7;3;43,90;35;1536,50
24/08/2003;20361;10911;16;66;14,00;31;434,00
06/01/2003;20362;10441;18;16;19,00;2;38,00
14/04/2003;20363;10721;10;14;263,50;28;7378,00
28/10/2003;20364;10954;7;72;7,75;13;100,75
14/09/2003;20365;10977;23;42;7,00;20;140,00
10/04/2003;20366;10932;9;22;21,05;26;547,30
14/12/2003;20367;10432;8;56;30,00;47;1410,00
24/12/2003;20368;10529;9;13;19,00;2;38,00
01/01/2003;20369;10380;12;41;9,20;28;257,60
21/10/2003;20370;10589;12;43;15,00;33;495,00
25/03/2003;20371;10112;23;43;15,00;44;660,00
19/02/2003;20372;10777;1;77;9,65;16;154,40
21/10/2003;20373;10018;3;27;19,00;33;627,00
30/10/2003;20374;10779;18;31;21,05;41;863,05
02/09/2003;20375;10483;2;27;19,00;9;171,00
20/11/2003;20376;10099;11;73;49,30;14;690,20
23/08/2003;20377;10999;22;59;55,00;21;1155,00
18/04/2003;20378;10240;25;50;10,00;50;500,00
01/05/2003;20379;10136;18;29;43,90;34;1492,60
07/09/2003;20380;10282;4;58;24,00;2;48,00
18/12/2003;20381;10279;4;64;9,00;37;333,00
12/07/2003;20382;10167;5;16;19,00;21;399,00
26/07/2003;20383;10301;6;60;263,50;22;5797,00
22/09/2003;20384;10197;13;48;14,00;43;602,00
01/04/2003;20385;10554;5;22;21,05;11;231,55
23/01/2003;20386;10536;18;64;9,00;20;180,00
08/11/2003;20387;10862;25;3;43,90;20;878,00
17/07/2003;20388;10756;5;48;14,00;26;364,00
21/12/2003;20389;10399;14;21;12,50;38;475,00
03/09/2003;20390;10685;23;21;12,50;19;237,50
19/06/2003;20391;10621;26;61;31,00;2;62,00
26/07/2003;20392;10116;15;29;43,90;8;351,20
16/05/2003;20393;10659;3;10;49,30;19;936,70
18/10/2003;20394;10137;2;40;32,80;12;393,60
13/06/2003;20395;10815;2;65;55,00;24;1320,00
30/05/2003;20396;10127;2;8;9,20;2;18,40
15/09/2003;20397;10091;7;46;15,50;23;356,50
22/06/2003;20398;10686;7;35;38,00;48;1824,00
24/08/2003;20399;10881;21;29;43,90;30;1317,00
21/05/2003;20400;10043;24;57;19,00;47;893,00
30/04/2003;20401;10255;4;12;46,00;4;184,00
14/03/2003;20402;10717;26;48;14,00;19;266,00
30/11/2003;20403;10472;14;43;15,00;38;570,00
23/06/2003;20404;10465;5;32;12,00;24;288,00
08/11/2003;20405;10650;12;57;19,00;34;646,00
12/12/2003;20406;10791;10;26;123,79;14;1733,06
28/02/2003;20407;10722;19;18;21,05;20;421,00
14/07/2003;20408;10555;21;12;46,00;44;2024,00
22/04/2003;20409;10112;5;43;15,00;44;660,00
30/06/2003;20410;10466;12;3;43,90;37;1624,30
11/05/2003;20411;10763;4;72;7,75;5;38,75
24/09/2003;20412;10479;5;65;55,00;45;2475,00
20/03/2003;20413;10447;21;20;14,00;38;532,00
07/10/2003;20414;10384;18;62;18,00;33;594,00
10/04/2003;20415;10489;2;18;21,05;45;947,25
04/06/2003;20416;10119;21;34;2,50;50;125,00
21/01/2003;20417;10329;22;27;19,00;6;114,00
12/03/2003;20418;10589;23;18;21,05;34;715,70
01/10/2003;20419;10572;22;11;15,00;37;555,00
22/04/2003;20420;10019;7;29;43,90;47;2063,30
17/08/2003;20421;10433;5;60;263,50;9;2371,50
21/05/2003;20422;10116;8;38;7,45;10;74,50
23/05/2003;20423;10728;20;75;13,25;15;198,75
19/03/2003;20424;10593;12;24;23,25;13;302,25
03/02/2003;20425;10832;5;68;12,50;25;312,50
25/03/2003;20426;10808;21;51;14,00;34;476,00
14/09/2003;20427;10234;20;24;23,25;47;1092,75
21/12/2003;20428;10575;22;6;15,50;22;341,00
01/10/2003;20429;10634;21;38;7,45;50;372,50
24/06/2003;20430;10404;18;22;21,05;13;273,65
19/09/2003;20431;10691;3;21;12,50;50;625,00
29/11/2003;20432;10725;15;68;12,50;48;600,00
17/07/2003;20433;10875;26;26;123,79;26;3218,54
03/09/2003;20434;10859;6;21;12,50;32;400,00
27/01/2003;20435;10040;11;2;43,90;17;746,30
23/08/2003;20436;10779;24;56;30,00;43;1290,00
03/07/2003;20437;10657;6;52;24,00;17;408,00
01/07/2003;20438;10930;1;67;9,50;50;475,00
08/05/2003;20439;10830;24;46;15,50;4;62,00
04/12/2003;20440;10655;25;12;46,00;17;782,00
12/04/2003;20441;10540;12;16;19,00;4;76,00
29/01/2003;20442;10995;4;6;15,50;26;403,00
13/10/2003;20443;10732;5;64;9,00;30;270,00
15/11/2003;20444;10903;17;14;263,50;39;10276,50
12/04/2003;20445;10185;10;15;123,79;44;5446,76
25/12/2003;20446;10141;20;13;19,00;41;779,00
08/03/2003;20447;10303;10;52;24,00;42;1008,00
16/02/2003;20448;10412;22;40;32,80;49;1607,20
20/05/2003;20449;10239;15;65;55,00;40;2200,00
15/03/2003;20450;10484;3;43;15,00;41;615,00
06/08/2003;20451;10006;25;55;9,00;40;360,00
05/09/2003;20452;10360;23;75;13,25;24;318,00
09/07/2003;20453;10482;11;75;13,25;21;278,25
14/08/2003;20454;10752;6;67;9,50;43;408,50
19/06/2003;20455;10470;8;70;19,00;15;285,00
29/08/2003;20456;10417;7;18;21,05;20;421,00
22/10/2003;20457;10211;17;68;12,50;36;450,00
16/05/2003;20458;10110;16;20;14,00;49;686,00
30/01/2003;20459;10010;17;49;21,05;49;1031,45
06/02/2003;20460;10202;14;59;55,00;16;880,00
13/12/2003;20461;10887;24;41;9,20;15;138,00
12/06/2003;20462;10241;20;74;24,00;28;672,00
09/10/2003;20463;10393;16;70;19,00;31;589,00
18/12/2003;20464;10981;16;77;9,65;25;241,25
06/04/2003;20465;10021;21;65;55,00;33;1815,00
06/03/2003;20466;10672;21;14;263,50;3;790,50
26/09/2003;20467;10848;14;75;13,25;31;410,75
18/07/2003;20468;10624;5;65;55,00;16;880,00
18/10/2003;20469;10318;19;35;38,00;47;1786,00
15/03/2003;20470;10352;19;11;15,00;7;105,00
12/11/2003;20471;10338;4;76;9,50;38;361,00
07/12/2003;20472;10806;8;28;18,00;1;18,00
13/04/2003;20473;10066;15;40;32,80;39;1279,20
09/11/2003;20474;10484;18;31;21,05;1;21,05
11/10/2003;20475;10073;22;7;15,50;10;155,00
11/06/2003;20476;10460;14;52;24,00;32;768,00
19/05/2003;20477;10774;3;70;19,00;20;380,00
21/06/2003;20478;10597;16;34;2,50;2;5,00
08/05/2003;20479;10275;20;50;10,00;40;400,00
21/09/2003;20480;10483;1;21;12,50;9;112,50
10/06/2003;20481;10067;6;43;15,00;4;60,00
22/07/2003;20482;10878;24;37;13,25;22;291,50
11/11/2003;20483;10195;9;61;31,00;29;899,00
08/02/2003;20484;10685;25;26;123,79;5;618,95
06/06/2003;20485;10827;13;11;15,00;36;540,00
15/01/2003;20486;10750;19;45;12,50;25;312,50
23/03/2003;20487;10376;3;10;49,30;27;1331,10
24/04/2003;20488;10996;11;44;53,00;50;2650,00
28/01/2003;20489;10577;9;72;7,75;43;333,25
18/11/2003;20490;10699;4;75;13,25;42;556,50
13/08/2003;20491;10174;17;64;9,00;32;288,00
27/08/2003;20492;10916;2;4;34,80;31;1078,80
10/02/2003;20493;10131;22;76;9,50;30;285,00
27/12/2003;20494;10354;17;47;7,00;1;7,00
02/09/2003;20495;10517;25;65;55,00;2;110,00
14/12/2003;20496;10218;13;38;7,45;48;357,60
10/02/2003;20497;10476;11;36;17,45;13;226,85
24/07/2003;20498;10810;10;1;14,00;16;224,00
12/08/2003;20499;10926;23;33;18,00;33;594,00
02/01/2003;20500;10907;22;52;24,00;40;960,00
28/09/2003;20501;10917;7;26;123,79;39;4827,81
27/08/2003;20502;10215;17;25;36,00;42;1512,00
28/09/2003;20503;10776;24;71;53,00;49;2597,00
09/08/2003;20504;10414;5;13;19,00;19;361,00
27/02/2003;20505;10469;7;20;14,00;39;546,00
01/03/2003;20506;10588;21;53;6,00;45;270,00
02/07/2003;20507;10818;5;57;19,00;46;874,00
27/07/2003;20508;10057;17;18;21,05;18;378,90
11/09/2003;20509;10494;8;52;24,00;29;696,00
19/02/2003;20510;10906;10;59;55,00;26;1430,00
22/04/2003;20511;10936;18;53;6,00;14;84,00
