Sexo;Estado Civil;Anos de estudo;Formação;Tempo de empresa;Unidade;Departamento;Cargo;Salário;Bônus
Feminino;Casado;15;Sócio-econômicas;29;Curitiba;Vendas;Assistente;19,48;75,34
Feminino;Solteiro;12;Exatas;7;Curitiba;Produção;Auxiliar;1,44;3,08
Masculino;Casado;21;Sócio-econômicas;29;Rio de Janeiro;Vendas;Gerente;45,05;118,6
Masculino;Casado;20;Sócio-econômicas;32;Rio de Janeiro;Vendas;Gerente;42,49;36,44
Masculino;Casado;18;Humanas;36;Rio de Janeiro;Produção;Assistente;23,24;23,58
Feminino;Casado;12;Sócio-econômicas;18;São Paulo;Produção;Auxiliar;2,12;15,5
Feminino;Viúvo;13;Humanas;16;Rio de Janeiro;Pessoal;Auxiliar;2,05;23,32
Feminino;Casado;17;Humanas;25;Curitiba;Produção;Assistente;14,15;40,86
Feminino;Casado;13;Sócio-econômicas;8;Rio de Janeiro;Produção;Auxiliar;2,42;13,5
Feminino;Casado;9;Exatas;0;Curitiba;Produção;Auxiliar;1,77;3,42
Feminino;Divorciado;16;Exatas;1;Rio de Janeiro;Vendas;Auxiliar;3,76;3,42
Masculino;Casado;17;Humanas;25;São Paulo;Vendas;Assistente;17,86;62,78
Feminino;Casado;14;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assi ;23,03;73,62
Feminino;Casado;14;Sócio-econômicas;15;Rio de Janeiro;Produção;Auxiliar;2,19;21,82
Feminino;Casado;14;Biológicas;22;São Paulo;Produção;Assistente;6,84;4,32
Feminino;Casado;15;Sócio-econômicas;13;Rio de Janeiro;Pessoal;Auxiliar;6,01;8,56
Feminino;Casado;14;Sócio-econômicas;22;Curitiba;Vendas;Assistente;15,69;31,06
Masculino;Casado;11;Sócio-econômicas;13;Rio de Janeiro;Produção;Assistente;11,28;49,92
Feminino;Casado;16;Sócio-econômicas;17;Rio de Janeiro;Vendas;Assistente;8,04;48,18
Feminino;Divorciado;14;Sócio-econômicas;10;Rio de Janeiro;Vendas;Assistente;5,86;8,32
Feminino;Divorciado;13;Humanas;0;São Paulo;Produção;Auxiliar;1,08;22,06
Feminino;Casado;17;Sócio-econômicas;20;Curitiba;Vendas;Assistente;27,93;54,92
Masculino;Casado;18;Sócio-econômicas;21;Rio  ;Vendas;Assistente;23,45;28,6
Feminino;Solteiro;14;Exatas;23;Florianópolis;Vendas;Auxiliar;1,23;13,86
Feminino;Divorciado;12;Biológicas;2;Curitiba;Vendas;Auxiliar;3,65;7,52
Masculino;Divorciado;16;Sócio-econômicas;10;Florianópolis;Vendas;Assistente;15,37;31,38
Masculino;Solteiro;14;Exatas;20;Rio de Janeiro;Produção;Auxiliar;1,41;2,7
Masculino;Casado;18;Exatas;33;São Paulo;Vendas;Assistente;28,89;53,06
Feminino;Solteiro;11;Humanas;0;Florianópolis;Produção;Auxiliar;1,11;4,6
Masculino;Casado;13;Exatas;17;São Paulo;Produção;Auxiliar;2,78;14,94
Feminino;Casado;18;Exatas;28;Rio de Janeiro;Vendas;Assistente;20,24;44,82
Feminino;Casado;14;Exatas;7;Florianópolis;Produção;Auxiliar;2,87;2,32
Feminino;Casado;12;Humanas;20;Florianópolis;Vendas;Auxiliar;2,42;10,66
Masculino;Casado;13;Exatas;3;Curitiba;Produção;Auxiliar;2,57;11,56
Masculino;Casado;16;Sócio-econômicas;21;Rio de Janeiro;Vendas;Assistente;19,3;30,74
Masculino;Solteiro;17;Exatas;16;Rio de Janeiro;Vendas;Assistente;3;17,5
Masculino;Casado;15;Sócio-econômicas;23;Curitiba;Vendas;Gerente;35,12;87,39
Masculino;Casado;17;Sócio-econômicas;37;Rio de Janeiro;Vendas;Assistente;35,12;31,7
Masculino;Casado;16;Biológicas;33;Curitiba;Pessoal;Assistente;31,39;15,88
Masculino;Casado;16;Sócio-econômicas;39;Rio de Janeiro;Vendas;Gerente;25,4;30,12
Feminino;Divorciado;17;Humanas;18;Rio de Janeiro;Vendas;Auxiliar;4,28;8,8
Feminino;Casado;18;Biológicas;23;Rio de Janeiro;Vendas;Assistente;28,65;20,84
Masculino;Viúvo;14;Exatas;4;Curitiba;Vendas;Auxiliar;5,7;3,86
Masculino;Casado;13;Sócio-econômicas;25;Rio de Janeiro;Prod ;Assistente;8,04;20,6
Masculino;Casado;13;Exatas;10;Curitiba;Produção;Auxiliar;6,42;17,5
Masculino;Divorciado;16;Humanas;0;Curitiba;Financeiro;Auxiliar;6,93;13,68
Feminino;Viúvo;18;Sócio-econômicas;1;Rio de Janeiro;Vendas;Assistente;9,07;29,52
Masculino;Casado;19;Humanas;20;Rio de Janeiro;Vendas;Gerente;34,3;13
Feminino;Solteiro;11;Exatas;7;Florianópolis;Produção;Auxiliar;1,12;3,72
Masculino;Casado;19;Sócio-econômicas;24;Rio de Janeiro;Vendas;Gerente;29,63;43,2
Masculino;Casado;12;Exatas;1;Rio de Janeiro;Vendas;Auxiliar;1,29;2,24
Feminino;Casado;18;Sócio-econômicas;17;São Paulo;Vendas;Assistente;26,76;57,3
Feminino;Viúvo;11;Biológicas;17;Curitiba;Produção;Auxiliar;1,25;12,02
Feminino;Casado;10;Humanas;11;Curitiba;Produção;Auxiliar;1,93;2,6
Masculino;Casado;16;Humanas;19;Curitiba;Vendas;Assistente;11,79;24,64
Feminino;Viúvo;11;Exatas;3;Florianópolis;Produção;Auxiliar;1,43;2,92
Feminino;Solteiro;8;Exatas;0;Curitiba;Produção;Auxiliar;1,01;2,12
Masculino;Casado;15;Sócio-econômicas;15;São Paulo;Vendas;Assistente;14,3;22,56
Masculino;Casado;15;Sócio-econômicas;25;São Paulo;Pessoal;Assistente;11,79;15,12
Feminino;Casado;12;Sócio-econômicas;14;Rio de Janeiro;Produção;Auxiliar;2,12;3,8
Masculino;Solteiro;16;Sócio-econômicas;20;Rio de Janeiro;Vendas;Assistente;6,75;28,02
Feminino;Casado;19;Sócio-econômicas;31;Rio de Janeiro;Vendas;Gerente;28,65;34
Masculino;Casado;19;Humanas;31;Rio de Janeiro;Vendas;Assistente;26,99;9,3
Masculino;Casado;18;Sócio-econômicas;29;São Paulo;Vendas;Gerente;42,18;49,48
Masculino;Divorciado;13;Sócio-econômicas;11;Rio de Janeiro;Vendas;Assistente;9,5;28,76
Masculino;Casado;18;Humanas;20;Florianópolis;Financeiro;Assistente;22;46,06
Masculino;Casado;18;Sócio-econômicas;34;Rio de Janeiro;Vendas;Assistente;33,22;54,92
Feminino;Casado;13;Exatas;8;Rio de Janeiro;Vendas;Auxiliar;3,6;6,78
Masculino;Casado;17;Biológicas;27;Rio de Janeiro;Vendas;Assistente;13,14;42,42
Feminino;Casado;14;Humanas;12;São Paulo;Pessoal;Auxiliar;9,84;16,08
Masculino;Casado;17;Biológicas;12;Rio de Janeiro;Pessoal;Assistente;8,85;30,44
Feminino;Casado;8;Exatas;0;São Paulo;Produção;Auxiliar;1,31;2,78
Masculino;Divorciado;11;Humanas;0;Curitiba;Pessoal;Auxiliar;1;2,92
Feminino;Solteiro;18;Humanas;16;São Paulo;Vendas;Assistente;3,92;12,84
Feminino;Casado;14;Exatas;18;Rio de Janeiro;Vendas;Assistente;6,5;14,02
Masculino;Divorciado;10;Exatas;4;Florianópolis;Produção;Auxiliar;1,28;3
Masculino;Casado;17;Sócio-econômicas;26;Rio de Janeiro;Vendas;Assistente;25,85;18,34
Feminino;Solteiro;8;Exatas;0;Florianópolis;Produção;Auxiliar;1,02;2,14
Feminino;Viúvo;15;Exatas;10;Florianópolis;Financeiro;Auxiliar;1,39;4,9
Masculino;Casado;17;Exatas;24;Curitiba;Pessoal;Auxiliar;10,54;26,56
Masculino;Casado;18;Sócio-econômicas;29;São Paulo;Vendas;Gerente;46,69;44,82
Masculino;Casado;17;Sócio-econômicas;29;Rio de Janeiro;Vendas;Assistente;22;46,48
Feminino;Casado;16;Sócio-econômicas;7;Rio de Janeiro;Vendas;Auxiliar;6,67;17,08
Masculino;Casado;12;Exatas;8;Curitiba;Produção;Auxiliar;4,1;3,1
Feminino;Casado;19;Sócio-econômicas;20;Rio de Janeiro;Vendas;Assistente;24,09;36,08
Masculino;Divorciado;13;Humanas;6;Curitiba;Vendas;Auxiliar;10,54;25,72
Masculino;Casado;15;Biológicas;20;Curitiba;Vendas;Assistente;8,96;38,96
Feminino;Casado;17;Exatas;14;Florianópolis;Financeiro;Auxiliar;8,24;4,54
Masculino;Casado;12;Biológicas;4;Florianópolis;Produção;Auxiliar;2,02;5,4
Masculino;Solteiro;9;Exatas;0;São Paulo;Produção;Auxiliar;1,33;2,14
Masculino;Casado;15;Sócio-econômicas;27;Curitiba;Produção;Assistente;20,81;21,56
Feminino;Casado;12;Biológicas;7;Rio de Janeiro;Produção;Auxiliar;1,83;8,56
Masculino;Casado;14;Sócio-econômicas;12;Curitiba;Financeiro;Assistente;8,85;14,76
Masculino;Casado;15;Sócio-econômicas;14;São Paulo;Vendas;Assistente;11,53;50,36
Masculino;Solteiro;14;Sócio-econômicas;8;Rio de Janeiro;Vendas;Auxiliar;9,61;6,28
Masculino;Casado;16;Sócio-econômicas;37;Curitiba;Vendas;Assistente;13,28;16,68
Feminino;Casado;17;Biológicas;21;Rio de Janeiro;Vendas;Assistente;12,86;32,68
Masculino;Casado;15;Sócio-econômicas;16;Curitiba;Financeiro;Assistente;14,3;20,84
Feminino;Solteiro;17;Sócio-econômicas;32;Rio de Janeiro;Vendas;Assistente;12,18;37,14
Masculino;Divorciado;21;Humanas;24;Rio de Janeiro;Vendas;Assistente;32,96;40,48
Feminino;Viúvo;16;Sócio-econômicas;19;Rio de Janeiro;Vendas;Assistente;11,53;7,08
Masculino;Solteiro;12;Exatas;0;Curitiba;Produção;Auxiliar;4,71;3,96
Masculino;Casado;18;Sócio-econômicas;23;Rio de Janeiro;Vendas;Assistente;43,12;77,68
Feminino;Solteiro;15;Humanas;21;Rio de Janeiro;Produção;Auxiliar;2,45;9,3
Feminino;Casado;15;Sócio-econômicas;19;Curitiba;Produção;Auxiliar;4,46;2,78
Feminino;Casado;17;Sócio-econômicas;18;Curitiba;Vendas;Assistente;25,4;29,2
Masculino;Casado;13;Sócio-econômicas;22;Rio de Janeiro; ;Assistente;13;32,36
Femi ;Casado;10;Exatas;2;São Paulo;Financeiro;Auxiliar;1,5;3,42
Feminino;Casado;14;Exatas;17;Rio de Janeiro;Produção;Auxiliar;3,29;17,7
Masculino;Solteiro;11;Exat ;14;Rio de Janeiro;Produção;Auxiliar;5,41;12,66
Masculino;Casado;15;Exatas;14;Rio de Janeiro;Vendas;Auxiliar;10,91;9,18
Masculino;Casado;15;Humanas;14;Curitiba;Vendas;Assistente;12,32;30,12
Masculino;Casado;17;Sócio-econômicas;15;Rio de Janeiro;Pessoal;Assistente;16,84;18,78
Feminino;Casado;16;Humanas;10;Florianópolis;Produção;Assistente;14,45;10,82
Masculino;Casado;16;Exatas;17;Curitiba;Financeiro;Assistente;14,01;18,14
Masculino;Divorciado;19;Huma ;16;Florianópolis;Vendas;Assistente;12,05;24,1
Masculino;Casado;9;Exatas;9;Flor ;Financeiro;Auxiliar;3;9,18
Feminino;Casado;17;Exatas;13;Curitiba;Vendas;Assistente;4,28;14,94
Masculino;Casado;15;Humanas;16;Rio de Janeiro;Vendas;Assistente;6,17;25,72
Feminino;Casado;20;Sócio-econômicas;23;Rio de Janeiro;Vendas;Gerente;49,41;72,48
Feminino;Casado;15;Sócio-econômicas;13;Rio de Janeiro;Produção;Auxiliar;6,17;29,2
Feminino;Solteiro;14;Exatas;14;Florianópolis;Produção;Auxiliar;2,66;7,83
Feminino;Divorciado;10;Exatas;8;Rio de Janeiro;Produção;Auxiliar;1,86;5,56
Feminino;Casado;18;Humanas;21;Florianópolis;Produção;Assistente;6,17;15,15
Masculino;Divorciado;18;Huma ;10;Florianópolis;Vendas;Assistente;19,3;17,92
Feminino;Casado;15;Sócio-econômicas;8;São Paulo;Produção;Auxiliar;4,92;5,48
Feminino;Solteiro;10;Exatas;0;Curitiba;Produção;Auxiliar;1,21;2,32
Feminino;Viúvo;12;Exatas;7;Curitiba;Financeiro;Auxiliar;3,49;7,08
Feminino;Casado;12;Humanas;12;Curitiba;Produção;Assistente;3,65;24,64
Masculino;Viúvo;12;Sócio-econômicas;4;Rio de Janeiro;Pessoal;Auxiliar;5,78;4,24
Feminino;Casado;18;Exatas;11;Rio de Janeiro;Vendas;Assistente;12,45;23,58
Masculino;Casado;17;Sócio-econômicas;12;São Paulo;Vendas;Assistente;37,96;37,14
Feminino;Casado;15;Humanas;26;Rio de Janeiro;Vendas;Auxiliar;11,53;14,76
Masculino;Casado; ;Sócio-econômicas;28;Curitiba;Vendas;Assistente;17,17;62,26
Feminino;Casado;11;Biológicas;18;São Paulo;Vendas;Assistente;1,89;27,14
Feminino;Solteiro;16;Sócio-econômicas;12;Rio de Janeiro;Vendas;Auxiliar;4,46;11,1
Feminino;Divorciado;15;Exatas;9;Curitiba;Pessoal;Auxiliar;1,96;3,56
Masculino;Casado;15;Humanas;22;São Paulo;Vendas;Assistente;21,4;73,62
Feminino;Solteiro;11;Humanas;4;Florianópolis;Produção;Auxiliar;1,83;10,1
Masculino;Casado;15;Biológicas;8;Rio de Janeiro;Vendas;Assistente;6,42;19
Masculino;Viúvo;14;Sócio-econômicas;13;Rio de Janeiro;Financeiro;Assistente;4,72;11,86
Masculino;Viúvo;17;Humanas;12;Rio de Janeiro;Vendas;Assistente;13,14;21,82
Feminino;Casado;15;Biológicas;16;Rio de Janeiro;Pessoal;Auxiliar;7,19;10,24
Masculino;Casado;16;Sócio-econômicas;33;Rio de Janeiro;Vendas;Assistente;28,41;54,44
Masculino;Casado;15;Biológicas;20;Rio de Janeiro;Financeiro;Assistente;20,43;29,2
Masculino;Casado;15;Sócio-econômicas;27;Rio de Janeiro;Vendas;Gerente;44,08;47,32
Feminino;Casado;13;Humanas;6;Curitiba;Pessoal;Assistente;5,78;31,7
Feminino;Casa ;13;Humanas;6;Florianópolis;Produção;Auxiliar;2,45;3,22
Masculino;Viúvo;21;Sócio-econômicas;32;Rio de Janeiro;Vendas;Assistente;26,76;53,06
Masculino;Solteiro;22;Sócio-econômicas;28;Rio de Janeiro;Vendas;Gerente;60,08;65,92
Feminino;Viúvo;13;Sócio-econômicas;12;Curitiba;Produção;Auxiliar;1,68;8,2
Masculino;Solteiro;16;Sócio-econômicas;8;São Paulo;Vend ;Assistente;16,67;8,2
Feminino;Casado;13;Exatas;14;São Paulo;Vendas;Auxiliar;6,75;19
Masculino;Casado;13;Exatas;0;São Paulo;Financeiro;Auxiliar;1,96;49,5
Feminino;Casado;9;Exatas;1;Curitiba;Produção;Auxiliar;1,46;2,96
Masculino;Casado;14;Humanas;16;Rio de Janeiro;Vendas;Assistente;15,22;108,06
Masculino;Casado;14;Sócio-econômicas;26;São Paulo;Pessoal;Assistente;6,33;40,1
Masculino;Casado;19;Sócio-econômicas;28;Rio de Janeiro;Vendas;Gerente;42,49;161,42
Feminino;Casado;20;Humanas;23;Rio de Janeiro;Vendas;Assistente;28,65;80,08
Masculino;Casado;14;Sócio-econômicas;21;Rio de Janeiro;Pessoal;Assistente;15,85;22,82
Feminino;Casado;13;Humanas;7;Rio de Janeiro;Produção;Auxiliar;2,02;12,18
Masculino;Casado;16;Exatas;10;Curitiba;Financeiro;Assistente;3,7;5,14
Masculino;Casado;14;Sócio-econômicas;26;Rio de Janeiro;Vendas;Assistente;37,38;43,2
Masculino;Casado;18;Sócio-econômicas;26;Rio de Janeiro;Vendas;Gerente;56,62;92,06
Masculino;Casado;18;Humanas;15;Rio de Janeiro;Financeiro;Assistente;18,39;19,22
Masculino;Casado;15;Sócio-econômicas;24;Rio de Janeiro;Vendas;Gerente;34,3;32,36
Masculino;Casado;18;Sócio-econômicas;22;Curitiba;Financeiro;Assistente;13,28;9,56
Feminino;Casado;15;Exatas;25;Rio de Janeiro;Vendas;Assistente;8,44;13,16
Masculino;Divorciado;16;Sócio-econômicas;2;São Paulo;Vendas;Assistente;13,57;24,64
Feminino;Divorciado;16;Biológicas;0;Curitiba;Vendas;Auxiliar;7,75;26,28
Masculino;Casado;20;Sócio-econômicas;36;Rio de Janeiro;Vendas;Gerente;64,88;80,68
Masculino;Casado;16;Humanas;13;São Paulo;Vendas;Assistente;24,74;68,06
Masculino;Solteiro;12;Exatas;15;Curitiba;Financeiro;Auxiliar;2,49;2,32
Feminino;Casado;13;Exatas;22;Florianópolis;Pessoal;Assistente;11,15;23,06
Feminino;Solteiro;14;Humanas;7;Florianópolis;Pessoal;Auxiliar;1,62;4,76
Feminino;Divorciado;11;Sócio-econômicas;15;Curitiba;Produção;Auxiliar;1,83;3,6
Masculino;Casado;14;Sócio-econômicas;23;São Paulo;Vendas;Assistente;25,62;20,6
Masculino;Viúvo;16;Sócio-econômicas;17;Curitiba;Vendas;Assistente;16,84;28,9
Masculino;Divorciado;13;Sócio-econômicas;14;Rio de Janeiro;Vendas;Assistente;9,39;7,74
Masculino;Casado;15;Exatas;16;Rio de Janeiro;Pessoal;Assistente;15,06;26
Feminino;Casado;8;Biológicas;5;Rio de Janeiro;Pessoal;Auxiliar;1,89;8,68
Masculino;Casado;15;Biológicas;28;Rio de Janeiro;Financeiro;Assistente;14,15;20,38
Masculino;Casado;11;Biológicas;7;Florianópolis;Produção;Auxiliar;1,41;8,8
Masculino;Casado;16;Exatas;18;Rio de Janeiro;Produção;Assistente;8,85;10,24
Masculino;Solteiro;15;Sócio-econômicas;7;Rio de Janeiro;Produção;Auxiliar;5,26;38,24
Feminino;Casado;14;Exatas;26;Florianópolis;Produção;Assistente;6,5;12,02
Masculino;Casado;17;Sócio-econômicas;21;Rio de Janeiro;Vendas;Gerente;32,96;68,06
Feminino;Casado;15;Humanas;12;Florianópolis;Pessoal;Auxiliar;6,33;19,22
Masculino;Casado;17;Humanas;16;Rio de Janeiro;Vendas;Assistente;9,39;69,7
Masculino;Casado;21;Sócio-econômicas;19;São Paulo;Vendas;Assistente;49,06;56,82
Feminino;Casado;13;Sócio-econômicas;14;Florianópolis;Pessoal;Auxiliar;7,38;23,58
Feminino;Casado;19;Sócio-econômicas;39;Rio de Janeiro;Vendas;Gerente;46,03;95,4
Masculino;Solteiro;15;Sócio-econômicas;8;Rio de Janeiro;Vendas;Auxiliar;4,59;15,12
Feminino;Casado;15;Exatas;8;São Paulo;Financeiro;Auxiliar;1,06;23,32
Masculino;Solteiro;14;Exatas;8;Rio de Janeiro;Produção;Auxiliar;3,87;2,04
Masculino;Viúvo;17;Exatas;11;Florianópolis;Vendas;Assistente;10,3;5,4
Masculino;Casado;11;Sócio-econômicas;2;Florianópolis;Produção;Auxiliar;3,65;12,66
Feminino;Solteiro;9;Biológicas;1;Curitiba;Produção;Auxiliar;1,32;2,32
Feminino;Casado;16;Humanas;17;Rio de Janeiro;Vendas;Assistente;22,61;17,08
Masculino;Solteiro;16;Humanas;17;São Paulo;Vendas;Assistente;9,84;13,34
Feminino;Casado;13;Humanas;4;Curitiba;Vendas;Auxiliar;4,52;3,48
Feminino;Divorciado;18;Biológicas;9;Rio de Janeiro;Financeiro;Assistente;5,86;29,52
Masculino;Casado;13;Sócio-econômicas;13;Florianópolis;Vendas;Assistente;11,53;15,32
Masculino;Solteiro;15;Sócio-econômicas;14;Rio de Janeiro;Vendas;Assistente;9,73;6,27
Masculino;Solteiro;18;Sócio-econômicas;26;São Paulo;Vendas;Assistente;16,34;29,2
Feminino;Casado;11;Exatas;8;Florianópolis;Produção;Auxiliar;2,09;9,44
Masculino;Casado;20;Biológicas;11;Rio de Janeiro;Vendas;Assistente;23,24;117,82
Feminino;Casado;14;Humanas;9;Curitiba;Produção;Auxiliar;8,75;26,28
Masculino;Casado;18;Sócio-econômicas;33;São Paulo;Vendas;Assistente;38,84;38,24
Masculino;Divorciado;12;Sócio-econômicas;0;São Paulo;Produção;Auxiliar;3,34;4,24
Masculino;Casado;15;Sócio-econômicas;21;Rio de Janeiro;Produção;Assistente;2,7;19,22
Masculino;Solteiro;9;Exatas;3;São Paulo;Produção;Auxiliar;1,23;2,68
Feminino;Casado;17;Exatas;17;Curitiba;Vendas;Auxiliar;4,28;15,7
Masculino;Casado;18;Sócio-econômicas;25;Rio de Janeiro;Vendas;Assistente;21,8;33,68
Feminino;Casado;20;Humanas;14;Curitiba;Vendas;Assistente;16,34;53,98
Masculino;Solteiro;11;Exatas;0;Florianópolis;Produção;Auxiliar;1,43;4,98
Feminino;Solteiro;8;Exatas;13;Curitiba;Produção;Auxiliar;1,12;2,16
Masculino;Casado;18;Humanas;7;Curitiba;Vendas;Assistente;8,44;17,92
Masculino;Casado;16;Humanas;5;Florianópolis;Vendas;Assistente;21,6;66,44
Masculino;Solteiro;14;Sócio-econômicas;4;Curitiba;Vendas;Auxiliar;3,7;2,16
Feminino;Casado;10;Exatas;9;São Paulo;Produção;Auxiliar;1,73;6,98
Masculino;Casado;15;Sócio-econômicas;25;Rio de Janeiro;Vendas;Assistente;17,69;66,98
Feminino;Casado;21;Sócio-econômicas;39;Rio de Janeiro;Vendas;Gerente;22,21;31,38
Masculino;Casado;22;Sócio-econômicas;31;Rio de Janeiro;Vendas;Gerente;41,56;81,28
Masculino;Casado;10;Exatas;9;Florianópolis;Produção;Auxiliar;1,99;3,04
Masculino;Casado;16;Sócio-econômicas;33;Curitiba;Pessoal;Assistente;16,34;15,7
Feminino;Divorciado;15;Humanas;18;São Paulo;Vendas;Assistente;11,79;27,72
Masculino;Divorciado;18;Sócio-econômicas;24;São Paulo;Financeiro;Assistente;6,75;14,56
Feminino;Divorciado;15;Sócio-econômicas;20;São Paulo;Vendas;Assistente;6,25;32,36
Feminino;Solteiro;13;Humanas;17;Rio de Janeiro;Financeiro;Auxiliar;2,16;7,4
Feminino;Casado;15;Exatas;15;Curitiba;Produção;Auxiliar;5,63;26,56
Masculino;Casado;19;Sócio-econômicas;24;Rio de Janeiro;Financeiro;Gerente;38,25;83,12
Masculino;Casado;18;Sócio-econômicas;13;Curitiba;Vendas;Assistente;13,28;9,18
Masculino;Casado;12;Exatas;7;Curitiba;Produção;Auxiliar;2,91;8,32
Feminino;Solteiro;8;Biológicas;4;Curitiba;Produção;Auxiliar;1,04;2,24
Feminino;Casado;15;Sócio-econômicas;21;Florianópolis;Produção;Assistente;11,03;45,64
Feminino;Casa ;16;Exatas;10;Rio de Janeiro;Financeiro;Assistente;18,04;20,84
Feminino;Casado;15;Sócio-econômicas;0;São Paulo;Produção;Auxiliar;4,1;3,36
Masculino;Casado;23;Sócio-econômicas;8;Rio de Janeiro;Vendas;Assistente;46,36;91,4
Feminino;Casado;14;Biológicas;14;São Paulo;Pessoal;Auxiliar;5,55;16,28
Feminino;Casado;13;Sócio-econômicas;0;Rio de Janeiro;Vendas;Assistente;4,46;15,57
Masculino;Solteiro;14;Exatas;9;Florianópolis;Vendas;Assistente;3,7;15,7
Feminino;Casado;9;Sócio-econômicas;19;Rio de Janeiro;Pessoal;Assistente;4,72;11,1
Masculino;  ;23;Sócio-econômicas;28;Rio de Janeiro;Vendas;Gerente;64,47;213,66
