Invoice_Num	Date	Purchaser	Vendor_Code	Amount
736	2004-01-01	Vijay	AST84	82138.44
772	2004-01-01	Vijay	YQS31	66664.16
855	2004-01-01	Vijay	BTI74	47096.24
857	2004-01-01	Vijay	SUB39	58502.7
862	2004-01-01	Vijay	BTI74	75855.96
866	2004-01-01	Vijay	GTR70	26367.45
887	2004-01-01	Vijay	AAC09	14995.22
901	2004-01-01	Vijay	VFL28	51630.82
917	2004-01-01	Suzie	ERY00	56842.9
928	2004-01-01	Vijay	DTT80	52942.48
933	2004-01-01	Suzie	VGS13	54783.35
974	2004-01-01	Vijay	CPI30	53989.26
978	2004-01-01	Suzie	HWL68	61742.64
1001	2004-01-01	Adam	YJL99	44418.1
1005	2004-01-01	Adam	WWV88	55522.22
1024	2004-01-01	Suzie	ZCK31	95289.76
1032	2004-01-01	Adam	ECY82	55255.93
1036	2004-01-01	Adam	NPS66	37340.76
1045	2004-01-01	Suzie	BKX16	34840.37
1047	2004-01-01	Vijay	OSB66	96076.74
1058	2004-01-01	Suzie	MNP79	26923.9
1074	2004-01-01	Adam	ECA51	97509.41
1077	2004-01-01	Vijay	LEV44	60525.56
1103	2004-01-01	Suzie	GBY58	89882.02
1137	2004-01-01	Vijay	VHZ41	57295.52
1189	2004-01-01	Adam	RKR44	92063.57
1193	2004-01-01	Vijay	CDH76	38153.98
1229	2004-01-01	Suzie	ZRW66	53225.2
1237	2004-01-01	Suzie	FEK12	30008.44
1259	2004-01-01	Adam	AAN92	33466.67
1292	2004-01-01	Suzie	FEK12	51228.72
1307	2004-01-01	Vijay	ZRW66	88950.65
1336	2004-01-01	Suzie	HEE52	46330.85
1340	2004-01-01	Vijay	GVV46	67058.62
1349	2004-01-01	Adam	BJU03	38195.74
1371	2004-01-01	Adam	DMJ97	28642.92
1392	2004-01-01	Adam	GPR02	46243.54
1423	2004-01-01	Suzie	FGZ13	50643.49
1426	2004-01-01	Vijay	JSE97	65672.98
1430	2004-01-01	Vijay	KWP06	26240.38
1440	2004-01-01	Suzie	HWL68	2200.34
1443	2004-01-01	Vijay	JWH59	10958.88
1462	2004-01-01	Suzie	VZJ58	31720.17
1474	2004-01-01	Suzie	CLP59	41885.33
1475	2004-01-01	Adam	OSB66	43914.39
1491	2004-01-01	Adam	JNH16	82482.16
1535	2004-01-01	Vijay	HMG39	32314.13
1541	2004-01-01	Adam	UZQ29	60321.45
1543	2004-01-01	Adam	BQR11	73067.87
1587	2004-01-01	Vijay	LSL87	42988.89
1587	2004-01-01	Vijay	UGF32	97686.72
1599	2004-01-01	Vijay	QSN84	18310.59
1606	2004-01-01	Suzie	WAU38	37740.96
1645	2004-01-01	Vijay	TEG41	81862.34
1683	2004-01-01	Adam	WSH17	39108.1
1699	2004-01-01	Vijay	DRM19	22635.45
1712	2004-01-01	Vijay	AAC09	73363.91
1728	2004-01-01	Adam	RLQ72	48854.86
1761	2004-01-01	Adam	MZB49	8268.37
1797	2004-01-01	Suzie	XKE06	9346.32
1804	2004-01-01	Suzie	XFD11	15736.31
1814	2004-01-01	Vijay	ANI54	79501.5
1866	2004-01-01	Adam	BNZ96	10477.05
1880	2004-01-01	Adam	RHI40	47069.95
1906	2004-01-01	Adam	DEJ39	30991.19
1915	2004-01-01	Adam	NRY73	15691.89
1917	2004-01-01	Vijay	MFV17	71104.81
1927	2004-01-01	Adam	ZQX97	73227.4
1928	2004-01-01	Suzie	TAR92	11238.97
1936	2004-01-01	Adam	MSR34	33211.4
1956	2004-01-01	Vijay	KPZ11	27694.48
1996	2004-01-01	Suzie	UCR01	61678.5
2003	2004-01-01	Adam	CJB00	3793.98
2006	2004-01-01	Adam	CFO05	87417.51
2031	2004-01-01	Vijay	GEW62	2999.29
2048	2004-01-01	Suzie	ZUO35	24556.51
2054	2004-01-01	Adam	LQH77	4032.57
2062	2004-01-01	Suzie	SUB39	92796.48
2070	2004-01-01	Suzie	MGZ99	72382.95
2091	2004-01-01	Adam	BOR16	46019.6
2094	2004-01-01	Vijay	LWO59	54864.43
2144	2004-01-01	Adam	NUC17	12208.07
2149	2004-01-01	Adam	MGZ99	98782.32
2156	2004-01-01	Adam	AFN00	64489.13
2188	2004-01-01	Vijay	FEK12	18749.53
2212	2004-01-01	Suzie	KAD14	62826.46
2214	2004-01-01	Adam	EBP11	44898.78
2220	2004-01-01	Suzie	WNW70	43126.94
2236	2004-01-01	Vijay	LSL87	41439.14
2237	2004-01-01	Vijay	AST84	44788.92
2262	2004-01-01	Adam	TMJ34	93095.39
2263	2004-01-01	Vijay	ZWC05	14580.38
2280	2004-01-01	Vijay	LSF27	49885.73
2309	2004-01-01	Suzie	TEG41	26873.57
2353	2004-01-01	Suzie	GCJ26	51416.72
2362	2004-01-01	Adam	NUC17	87375.23
2372	2004-01-01	Vijay	OFO10	4115.85
2378	2004-01-01	Adam	LSY20	60596.6
2378	2004-01-01	Adam	KBU78	62752.34
2380	2004-01-01	Adam	ECY82	81295.93
2385	2004-01-01	Suzie	ROW92	77062.6
2416	2004-01-01	Adam	JPM89	10666.76
2431	2004-01-01	Vijay	LEI02	39742.46
2438	2004-01-01	Vijay	YGX43	3829.68
2492	2004-01-01	Adam	GRQ85	22873.56
2494	2004-01-01	Suzie	QSN84	54318.95
2503	2004-01-01	Vijay	BJJ25	46258.95
2508	2004-01-01	Vijay	YQS31	12469.86
2517	2004-01-01	Vijay	KBU78	90221.13
2526	2004-01-01	Vijay	NXH96	54873.5
2527	2004-01-01	Adam	BIH77	42050.77
2527	2004-01-01	Suzie	HWA04	83600.9
2538	2004-01-01	Suzie	CZW33	55468.82
2566	2004-01-01	Suzie	SAL29	16727.8
2601	2004-01-01	Adam	SQH43	53985.64
2645	2004-01-01	Adam	ZUO35	63060.85
2671	2004-01-01	Vijay	HRR19	9391.52
2686	2004-01-01	Suzie	XKE06	68827.08
2714	2004-01-01	Vijay	VHZ41	90988.8
2751	2004-01-01	Vijay	NRS07	11240.02
2793	2004-01-01	Suzie	NGE18	70106.02
2795	2004-01-01	Vijay	PKF61	51527.14
2818	2004-01-01	Vijay	TUS00	74644.17
2843	2004-01-01	Vijay	LVI93	76722.51
2844	2004-01-01	Adam	JRG45	97465.21
2854	2004-01-01	Vijay	PSJ39	99544.55
2868	2004-01-01	Vijay	CAP92	50678.73
2909	2004-01-01	Vijay	XDT72	76492.12
2927	2004-01-01	Vijay	LWO59	76715.44
2929	2004-01-01	Suzie	SZI87	57131.41
2933	2004-01-01	Vijay	CLP59	79928.33
3004	2004-01-01	Suzie	CDH76	54352.75
3045	2004-01-01	Vijay	OUW27	48697.27
3053	2004-01-01	Adam	EHD54	19542.57
3056	2004-01-01	Adam	UGX77	67297.78
3115	2004-01-01	Suzie	MLJ73	85890.11
3158	2004-01-01	Vijay	VGS13	58904.85
3174	2004-01-01	Vijay	SUB39	1375.71
3195	2004-01-01	Suzie	NPO66	16516.78
3203	2004-01-01	Adam	TAR92	16478.19
3205	2004-01-01	Suzie	OSD54	36132.18
3219	2004-01-01	Vijay	CSR46	99905.14
3234	2004-01-01	Suzie	MZB49	32290.29
3265	2004-01-01	Adam	LZC89	96597.77
3283	2004-01-01	Suzie	PRZ12	87491.79
3388	2004-01-01	Vijay	VNJ83	9829.88
3390	2004-01-01	Vijay	SOI83	4319.28
3409	2004-01-01	Suzie	GES72	78903.11
3413	2004-01-01	Vijay	POR77	63973.16
3423	2004-01-01	Suzie	HUH13	62306.97
3427	2004-01-01	Suzie	PWY60	44723.95
3515	2004-01-01	Suzie	JBV85	90049.88
3532	2004-01-01	Suzie	EDS79	58273.82
3659	2004-01-01	Suzie	CZI39	84279.32
3711	2004-01-01	Adam	VJK85	96363.31
3716	2004-01-01	Vijay	LSY20	69191.53
3723	2004-01-01	Vijay	GPR02	45075.59
3735	2004-01-01	Vijay	RYG71	18088.96
3740	2004-01-01	Vijay	XAA39	80354.56
3750	2004-01-01	Vijay	CWW45	22183.85
3751	2004-01-01	Adam	LEV44	88216.99
3761	2004-01-01	Suzie	LJN20	14859.06
3808	2004-01-01	Adam	TKS06	46165.04
3810	2004-01-01	Vijay	OUW27	53969.55
3812	2004-01-01	Vijay	JNH16	2296.85
3823	2004-01-01	Vijay	UJV74	59907.9
3834	2004-01-01	Adam	CSR46	61881.32
3840	2004-01-01	Suzie	RHI40	61823.35
3868	2004-01-01	Adam	MNP79	31243.67
3975	2004-01-01	Suzie	GPX98	19840.91
3980	2004-01-01	Vijay	BDV39	78682.32
4008	2004-01-01	Adam	BQO16	15066.94
4008	2004-01-01	Vijay	JLF55	97762.25
4008	2004-01-01	Suzie	XRN09	62977.02
4010	2004-01-01	Vijay	HRR19	50322.22
4013	2004-01-01	Suzie	LYN67	98895.04
4015	2004-01-01	Vijay	VHZ41	5168.07
4039	2004-01-01	Vijay	ZBV52	31603.25
4044	2004-01-01	Vijay	KCW19	1641.78
4070	2004-01-01	Adam	JGC68	78138.41
4095	2004-01-01	Adam	RKR44	96708.88
4121	2004-01-01	Vijay	OUW27	68339.89
4179	2004-01-01	Suzie	AKO54	75504.43
4198	2004-01-01	Adam	XXH95	1346.61
4253	2004-01-01	Vijay	EOG43	39380.57
4283	2004-01-01	Suzie	MSD77	80119.14
4284	2004-01-01	Vijay	PDA73	26502.77
4294	2004-01-01	Adam	EIO62	54168.9
4299	2004-01-01	Suzie	NTM61	30572.31
4304	2004-01-01	Suzie	ZRX58	9958.01
4308	2004-01-01	Suzie	ZET22	10643.68
4312	2004-01-01	Vijay	XRN09	11865.52
4316	2004-01-01	Suzie	POR77	48858.29
4318	2004-01-01	Adam	FGZ13	10970.59
4320	2004-01-01	Suzie	GRQ85	85812.93
4379	2004-01-01	Adam	KGW77	85896.57
4424	2004-01-01	Vijay	XFD11	36183.63
4441	2004-01-01	Adam	ASI82	91832.05
4450	2004-01-01	Vijay	ANX77	36077.21
4481	2004-01-01	Adam	VNJ83	19040.7
4491	2004-01-01	Vijay	ULX32	82652.6
4495	2004-01-01	Adam	KQD58	64089.75
4526	2004-01-01	Suzie	LLA90	96836.54
4536	2004-01-01	Vijay	CMY93	34033.2
4560	2004-01-01	Adam	GYD94	41231.21
4577	2004-01-01	Vijay	UCR01	53826.78
4586	2004-01-01	Suzie	CDH76	83801.77
4598	2004-01-01	Adam	JTH51	85848.83
4611	2004-01-01	Vijay	GIR18	67214.79
4619	2004-01-01	Vijay	RHI40	97097.42
4619	2004-01-01	Adam	IGU17	2683.03
4629	2004-01-01	Suzie	GYD94	27363.09
4630	2004-01-01	Vijay	SZI87	43451.63
4654	2004-01-01	Vijay	IOV67	21310.98
4654	2004-01-01	Vijay	CCX30	3057.74
4660	2004-01-01	Suzie	PCN39	36102.54
4679	2004-01-01	Vijay	ANI54	40282.92
4701	2004-01-01	Suzie	OTM46	15089.36
4754	2004-01-01	Suzie	COH25	20943.52
4765	2004-01-01	Vijay	FEK12	69790.59
4766	2004-01-01	Vijay	KWP06	29692.76
4771	2004-01-01	Adam	OJQ26	23310.99
4781	2004-01-01	Vijay	POR77	97006.89
4811	2004-01-01	Suzie	MOQ48	37924.55
4823	2004-01-01	Vijay	NZH73	82673.67
4836	2004-01-01	Vijay	GRQ85	80605.46
4840	2004-01-01	Suzie	ZWC05	25747.19
4845	2004-01-01	Suzie	HBZ47	53875.37
4858	2004-01-01	Suzie	GES72	95045.38
4861	2004-01-01	Vijay	SDT95	76646.6
4878	2004-01-01	Vijay	ISQ18	88492.93
4897	2004-01-01	Suzie	XJB01	96708.85
4901	2004-01-01	Adam	NHY97	55121.67
4909	2004-01-01	Vijay	QIC27	37814.71
4939	2004-01-01	Adam	KJN10	2977.38
4991	2004-01-01	Adam	RVW74	37127.48
5	2004-01-02	Adam	WWI36	35162.65
14	2004-01-02	Vijay	SOO37	8386.21
23	2004-01-02	Adam	TRX25	74299.51
35	2004-01-02	Adam	FER42	24460.47
127	2004-01-02	Vijay	IUJ35	54161.6
132	2004-01-02	Vijay	LJG28	78576.33
133	2004-01-02	Vijay	NZH73	18052.95
151	2004-01-02	Adam	XRN09	79066.62
196	2004-01-02	Vijay	KLZ45	84022.84
227	2004-01-02	Suzie	ZET22	98899.48
229	2004-01-02	Vijay	JNG25	93086.46
234	2004-01-02	Vijay	BED62	58906.31
234	2004-01-02	Adam	UGX77	6291.72
243	2004-01-02	Suzie	PAY03	9583.93
271	2004-01-02	Adam	OSB66	96055.93
275	2004-01-02	Vijay	PQE86	43245.45
281	2004-01-02	Vijay	GGZ02	85947.26
292	2004-01-02	Suzie	XJB01	37542.84
300	2004-01-02	Adam	TNH56	60976.8
313	2004-01-02	Adam	AHT14	4890.73
322	2004-01-02	Vijay	RQA52	86258.86
356	2004-01-02	Adam	VWV36	94072.2
384	2004-01-02	Adam	ZQX97	23863.53
391	2004-01-02	Adam	CPI30	72760.32
413	2004-01-02	Vijay	UZA27	58326.57
447	2004-01-02	Vijay	EDS79	25263.29
458	2004-01-02	Vijay	XJQ81	1538.12
498	2004-01-02	Suzie	RYG71	94624.72
506	2004-01-02	Adam	MFV17	37491.15
510	2004-01-02	Vijay	TLR73	86446.05
511	2004-01-02	Adam	FEK12	72650.59
530	2004-01-02	Vijay	LEI02	10373.46
641	2004-01-02	Suzie	GBY58	57008.7
655	2004-01-02	Suzie	DMJ97	35018.06
732	2004-01-02	Suzie	KDR05	21429.36
757	2004-01-02	Adam	MSR34	51990.93
846	2004-01-02	Suzie	SYU65	76775.25
872	2004-01-02	Suzie	DRW31	83110.45
891	2004-01-02	Adam	CJB00	50251.47
892	2004-01-02	Vijay	VWV36	45846.35
918	2004-01-02	Suzie	ZQX97	66848.56
935	2004-01-02	Suzie	JRG45	39984.01
957	2004-01-02	Adam	XJB01	12815.81
970	2004-01-02	Vijay	JNH16	78701.63
985	2004-01-02	Vijay	KLL65	30919.96
992	2004-01-02	Suzie	NRS07	42623.37
992	2004-01-02	Adam	DWG87	33474.34
1007	2004-01-02	Adam	NZH73	61613.05
1047	2004-01-02	Vijay	PGC43	35205.99
1071	2004-01-02	Vijay	ZSI42	26212.08
1104	2004-01-02	Vijay	CDH76	74759.99
1121	2004-01-02	Vijay	EXO08	79960.65
1121	2004-01-02	Vijay	SAL29	63205.53
1133	2004-01-02	Vijay	ZHD69	2443.54
1141	2004-01-02	Vijay	LSF27	97278.63
1151	2004-01-02	Vijay	WII20	84343.18
1158	2004-01-02	Vijay	HPY94	3135.07
1175	2004-01-02	Adam	EEC94	14891.46
1178	2004-01-02	Vijay	CNH68	32110.52
1179	2004-01-02	Suzie	WUL55	28284.62
1182	2004-01-02	Vijay	DOT60	68668.3
1184	2004-01-02	Suzie	XAA39	99758.39
1195	2004-01-02	Adam	XIH33	63272.71
1203	2004-01-02	Suzie	NYW08	1753.53
1242	2004-01-02	Adam	MFV17	61886.31
1254	2004-01-02	Vijay	PCN39	61321.81
1257	2004-01-02	Adam	UGX77	70992.92
1259	2004-01-02	Vijay	ECA51	91416.98
1277	2004-01-02	Adam	JQS22	80200.27
1300	2004-01-02	Suzie	FER42	78899.18
1314	2004-01-02	Vijay	RDR78	88307.22
1320	2004-01-02	Suzie	MZB49	98593.84
1326	2004-01-02	Vijay	FEK12	47590.14
1329	2004-01-02	Vijay	BID19	23905.28
1342	2004-01-02	Adam	LSL87	9108.46
1361	2004-01-02	Vijay	WMH43	39166.93
1389	2004-01-02	Vijay	QOD95	22697.68
1390	2004-01-02	Suzie	KLS22	81057.03
1423	2004-01-02	Vijay	UJD68	66687.06
1430	2004-01-02	Suzie	XAA39	72951.02
1442	2004-01-02	Adam	TGZ10	44640.83
1486	2004-01-02	Suzie	UGF32	5081.42
1517	2004-01-02	Vijay	KWP06	80779.0
1543	2004-01-02	Suzie	IMY92	12273.89
1566	2004-01-02	Vijay	XAZ10	15331.12
1579	2004-01-02	Vijay	BED62	97275.71
1592	2004-01-02	Suzie	ORN29	68059.72
1657	2004-01-02	Vijay	GGB38	47980.76
1673	2004-01-02	Suzie	CPI30	23223.28
1674	2004-01-02	Adam	HZQ88	9341.32
1678	2004-01-02	Adam	LWO59	33324.17
1682	2004-01-02	Vijay	AKO54	94177.55
1696	2004-01-02	Suzie	WUL55	17663.8
1704	2004-01-02	Vijay	DRM19	90327.69
1718	2004-01-02	Adam	MYX55	77948.67
1750	2004-01-02	Vijay	OTM46	60142.71
1762	2004-01-02	Adam	TUS00	9251.62
1774	2004-01-02	Vijay	YJL99	96651.47
1775	2004-01-02	Vijay	GTR70	3707.88
1806	2004-01-02	Vijay	OJQ26	81864.25
1806	2004-01-02	Suzie	MSK41	71444.03
1811	2004-01-02	Adam	GRQ85	31483.8
1856	2004-01-02	Suzie	OJQ26	52664.76
1877	2004-01-02	Vijay	JSE97	51360.7
1915	2004-01-02	Vijay	VHZ41	95087.13
1928	2004-01-02	Vijay	JAA22	16800.06
1935	2004-01-02	Adam	EIO62	56908.6
1963	2004-01-02	Suzie	WPF80	44731.38
1970	2004-01-02	Suzie	CNC32	82998.01
1976	2004-01-02	Adam	FGZ13	95045.19
1982	2004-01-02	Adam	ZBV52	81030.97
1988	2004-01-02	Adam	DBE55	58597.02
2008	2004-01-02	Suzie	VJK85	41575.76
2015	2004-01-02	Vijay	EPS37	39009.83
2075	2004-01-02	Vijay	TLR73	32013.75
2077	2004-01-02	Adam	KLL65	80787.82
2125	2004-01-02	Adam	JWH59	92084.71
2126	2004-01-02	Adam	KRT63	98760.62
2157	2004-01-02	Vijay	SOI83	52060.72
2218	2004-01-02	Vijay	KBA78	55615.13
2222	2004-01-02	Suzie	NRS07	63783.66
2223	2004-01-02	Suzie	GYD00	71494.74
2242	2004-01-02	Vijay	BTI74	84071.76
2249	2004-01-02	Vijay	XPD06	15583.56
2252	2004-01-02	Adam	RDR78	41320.37
2291	2004-01-02	Vijay	JCL01	67704.69
2310	2004-01-02	Suzie	KWP06	56232.44
2312	2004-01-02	Adam	KPZ11	81740.57
2354	2004-01-02	Suzie	KWD49	41758.67
2375	2004-01-02	Vijay	KFX83	15380.3
2380	2004-01-02	Vijay	XTZ44	4908.15
2402	2004-01-02	Suzie	BQO16	20839.22
2419	2004-01-02	Adam	OQQ90	46569.27
2427	2004-01-02	Adam	MNV74	33130.08
2447	2004-01-02	Suzie	CZW33	61608.12
2451	2004-01-02	Vijay	JAH56	33060.56
2455	2004-01-02	Vijay	GVV46	53125.36
2463	2004-01-02	Suzie	XDT72	77199.6
2472	2004-01-02	Adam	FER42	47859.41
2478	2004-01-02	Suzie	HQC20	5588.25
2511	2004-01-02	Suzie	WDK35	29776.61
2514	2004-01-02	Vijay	IPQ35	80815.96
2524	2004-01-02	Vijay	HEE52	79089.71
2535	2004-01-02	Suzie	AC2	87014.77
2539	2004-01-02	Adam	WHR98	74393.07
2545	2004-01-02	Adam	RHA00	60942.47
2557	2004-01-02	Suzie	UZQ29	61330.06
2564	2004-01-02	Vijay	VFL28	29649.24
2566	2004-01-02	Vijay	ZUD45	52491.39
2580	2004-01-02	Vijay	VZJ58	70733.18
2587	2004-01-02	Vijay	AHT14	84903.33
2588	2004-01-02	Vijay	BIH77	1700.96
2594	2004-01-02	Vijay	NYW08	77926.44
2627	2004-01-02	Vijay	CNC32	59561.41
2631	2004-01-02	Adam	VGS13	57488.17
2636	2004-01-02	Vijay	WNW70	57823.86
2646	2004-01-02	Suzie	FVW02	54918.19
2647	2004-01-02	Vijay	DQQ46	36645.3
2660	2004-01-02	Vijay	PWY60	29989.57
2675	2004-01-02	Vijay	USA37	3946.23
2682	2004-01-02	Vijay	UZA27	75081.21
2684	2004-01-02	Adam	JBB30	35676.66
2690	2004-01-02	Suzie	PIL41	34418.85
2721	2004-01-02	Vijay	ERY00	5573.59
2741	2004-01-02	Vijay	LEI02	31393.73
2767	2004-01-02	Vijay	VGS13	40127.7
2769	2004-01-02	Suzie	BDV39	98237.18
2813	2004-01-02	Vijay	CIW95	83003.35
2850	2004-01-02	Vijay	EZH87	99822.43
2859	2004-01-02	Suzie	MZB49	98715.62
2862	2004-01-02	Suzie	PDQ93	68951.27
2866	2004-01-02	Adam	KNC12	81111.61
2873	2004-01-02	Vijay	AHT14	22316.56
2889	2004-01-02	Vijay	UGF32	1535.55
2915	2004-01-02	Vijay	FNH63	48137.65
2916	2004-01-02	Vijay	IMY92	64254.14
2920	2004-01-02	Adam	XOL02	55073.75
2927	2004-01-02	Vijay	NFE02	6892.54
2936	2004-01-02	Adam	JIB35	88163.06
2946	2004-01-02	Suzie	DQQ46	81107.77
2962	2004-01-02	Vijay	CDH76	7537.42
2997	2004-01-02	Suzie	ESS02	63465.83
2998	2004-01-02	Suzie	CQX69	54872.5
3009	2004-01-02	Adam	OJQ26	20637.2
3024	2004-01-02	Suzie	DEJ39	93033.47
3069	2004-01-02	Suzie	KQD58	42194.14
3135	2004-01-02	Vijay	LWH88	90839.16
3139	2004-01-02	Vijay	XPD06	99203.23
3185	2004-01-02	Vijay	OVJ22	98996.66
3242	2004-01-02	Vijay	XXH95	89085.85
3243	2004-01-02	Adam	LPB47	18847.27
3271	2004-01-02	Vijay	NFV76	56067.64
3292	2004-01-02	Suzie	ZVL01	23642.98
3304	2004-01-02	Vijay	KNC12	47855.48
3316	2004-01-02	Vijay	BAR65	9512.99
3323	2004-01-02	Vijay	CIW95	25959.76
3328	2004-01-02	Suzie	KWP06	84871.63
3331	2004-01-02	Vijay	FVW02	60196.23
3381	2004-01-02	Adam	ZRX58	67522.64
3415	2004-01-02	Adam	BQR11	44619.69
3418	2004-01-02	Adam	ZIW94	80244.32
3420	2004-01-02	Vijay	JCY21	80526.91
3421	2004-01-02	Suzie	XRN09	52316.88
3426	2004-01-02	Suzie	WSH17	14237.33
3443	2004-01-02	Vijay	PXG37	32513.01
3451	2004-01-02	Suzie	ANI54	12278.2
3474	2004-01-02	Vijay	LWH88	21750.6
3484	2004-01-02	Suzie	FNH63	70140.37
3514	2004-01-02	Vijay	MCR88	89334.81
3550	2004-01-02	Vijay	CNC32	12871.55
3561	2004-01-02	Vijay	YAG49	75691.03
3564	2004-01-02	Adam	TXR54	17532.83
3570	2004-01-02	Vijay	CWO94	77776.98
3573	2004-01-02	Suzie	TVT41	27797.8
3584	2004-01-02	Adam	HRR19	10109.81
3586	2004-01-02	Vijay	ABT73	83121.72
3587	2004-01-02	Adam	WFO63	49093.38
3611	2004-01-02	Adam	KGM78	40256.52
3623	2004-01-02	Vijay	BIH77	39253.09
3641	2004-01-02	Suzie	UZA27	97026.33
3663	2004-01-02	Vijay	WWV88	9551.13
3693	2004-01-02	Vijay	ZTG40	71702.48
3696	2004-01-02	Vijay	ASM76	35762.39
3696	2004-01-02	Vijay	KLS22	34069.69
3698	2004-01-02	Adam	OVA58	84560.56
3704	2004-01-02	Vijay	PDA73	5342.13
3712	2004-01-02	Adam	KGW77	68245.71
3723	2004-01-02	Vijay	KGO02	68341.59
3747	2004-01-02	Suzie	DKY79	13986.36
3747	2004-01-02	Vijay	CPV96	52552.86
3767	2004-01-02	Vijay	UCR01	30637.74
3781	2004-01-02	Vijay	TUS00	96156.67
3790	2004-01-02	Vijay	HKV93	42952.17
3792	2004-01-02	Adam	OFC92	44757.49
3805	2004-01-02	Suzie	IPQ35	73529.36
3814	2004-01-02	Vijay	FEK12	74937.82
3833	2004-01-02	Suzie	LWH88	92021.99
3842	2004-01-02	Vijay	ZSI42	99624.35
3862	2004-01-02	Vijay	ZIW94	77288.44
3876	2004-01-02	Adam	BID19	95950.92
3880	2004-01-02	Adam	UCR01	5788.22
3884	2004-01-02	Adam	BAY81	59432.53
3901	2004-01-02	Vijay	KBU78	59579.08
3903	2004-01-02	Suzie	MFV17	85903.38
3910	2004-01-02	Vijay	PXG37	60143.83
3915	2004-01-02	Adam	CZW33	26067.92
3915	2004-01-02	Vijay	NUC17	18453.51
3962	2004-01-02	Vijay	MOR80	92593.63
3978	2004-01-02	Suzie	MMW04	85080.45
3980	2004-01-02	Vijay	NRY73	63012.94
3992	2004-01-02	Vijay	WWI36	16896.47
4000	2004-01-02	Adam	AAC09	39538.43
4001	2004-01-02	Vijay	CMY93	59518.26
4061	2004-01-02	Suzie	HDV50	9173.03
4076	2004-01-02	Suzie	FCQ71	68243.04
4097	2004-01-02	Adam	QVT53	53482.92
4099	2004-01-02	Adam	RHK19	98282.77
4103	2004-01-02	Adam	DNA82	30594.24
4131	2004-01-02	Vijay	WII20	58070.27
4133	2004-01-02	Vijay	LYN67	13298.53
4134	2004-01-02	Vijay	JCO31	45544.27
4139	2004-01-02	Adam	UOY86	8790.07
4150	2004-01-02	Vijay	HTN44	60824.64
4161	2004-01-02	Vijay	FYN62	7491.26
4179	2004-01-02	Suzie	ESS02	98946.3
4210	2004-01-02	Vijay	CAR66	12538.44
4211	2004-01-02	Vijay	TMJ34	37601.6
4252	2004-01-02	Suzie	WII20	98725.46
4281	2004-01-02	Vijay	BJJ25	47017.31
4314	2004-01-02	Suzie	CPI30	21898.49
4326	2004-01-02	Vijay	PQE86	69995.36
4331	2004-01-02	Vijay	UJK05	43573.86
4392	2004-01-02	Vijay	JYT11	56082.18
4398	2004-01-02	Suzie	FMN46	35166.67
4438	2004-01-02	Adam	TVT41	30175.85
4460	2004-01-02	Vijay	EAB95	90723.79
4516	2004-01-02	Suzie	HWA04	40889.47
4525	2004-01-02	Vijay	OFO10	56340.66
4526	2004-01-02	Vijay	WII20	20944.02
4562	2004-01-02	Suzie	WBQ79	25183.46
4566	2004-01-02	Suzie	ASI82	18694.72
4573	2004-01-02	Vijay	JCL01	41891.02
4591	2004-01-02	Vijay	HTN44	76580.31
4659	2004-01-02	Suzie	IOV67	86360.71
4670	2004-01-02	Adam	LJG28	98730.21
4673	2004-01-02	Suzie	LYN67	97896.07
4685	2004-01-02	Vijay	BAY81	95817.61
