ProviderID,ProviderType,ProviderSpecialty,Location
"10017813456","emerg phys","gen pract","104"
"10017913551","emerg phys","gen pract","367"
"10018013632","emerg phys","gen pract","367"
"10018213670","emerg phys","gen pract","104"
"10018313785","emerg phys","gen pract","294"
"10018513816","emerg phys","gen pract","234"
"10018613841","emerg phys","gen pract","410"
"10018813921","emerg phys","gen pract","367"
"10018913956","emerg phys","gen pract","410"
"10019114014","emerg phys","gen pract","410"
"10019214056","emerg phys","gen pract","410"
"10019314070","emerg phys","gen pract","744"
"10019414197","emerg phys","gen pract","945"
"10019514299","hear aid","med supply","410"
"10019614301","hear aid","med supply","410"
"10019714421","hear aid","med supply","111"
"10019914493","hear aid","med supply","410"
"10020114615","hmo","31","367"
"10020214716","hmo","31","367"
"10020314724","hmo","31","104"
"10020414816","hmo","31","367"
"10020514842","hmo","31","104"
"10020614857","hmo","31","410"
"10020814917","hmo","31","367"
"10021014975","hmo","31","737"
"10021115099","home health","non-phys","367"
"10021315122","home health","non-phys","367"
"10021415196","home health","non-phys","367"
"10021615247","home health","non-phys","410"
"10021815283","home health","non-phys","432"
"10022015385","home health","non-phys","737"
"10022215424","home health","non-phys","104"
"10022415513","home health","non-phys","410"
"10022515609","home health","non-phys","104"
"10022715715","home health","non-phys","367"
"10022915785","hosp - III","hosp peer 3","410"
"10023015819","hosp - III","hosp peer 3","104"
"10023215939","hosp - III","hosp peer 3","367"
"10023315943","hosp - III","hosp peer 3","367"
"10023516063","hosp - III","hosp peer 4","465"
"10023716128","hosp - III","hosp peer 4","410"
"10023916156","hosp - III","hosp peer 4","410"
"10024016266","hosp - III","hosp peer 4","104"
"10024116345","hosp - III","hosp peer 5","367"
"10024316407","hosp - III","hosp peer 5","104"
"10024516430","hosp - III","hosp peer 5","410"
"10024716441","hosp - III","hosp peer 5","367"
"10024816494","hosp - III","hosp peer 5","367"
"10024916627","hosp - III","hosp peer 5","367"
"10025116753","hosp - III","hosp peer 5","234"
"10025316835","lab fac","lab diagnostic","104"
"10025416857","lab fac","lab diagnostic","294"
"10025516902","lab fac","lab diagnostic","67"
"10025717011","lab fac","lab diagnostic","410"
"10025917076","lab fac","lab diagnostic","410"
"10026017133","lab fac","lab diagnostic","410"
"10026117223","lab fac","lab diagnostic","294"
"10026217339","lab fac","lab diagnostic","410"
"10026317364","lab fac","lab diagnostic","104"
"10026417434","lab fac","lab diagnostic","104"
"10026617567","lab fac","lab diagnostic","104"
"10026717602","lab fac","lab diagnostic","410"
"10026817683","lab fac","lab diagnostic","737"
"10026917718","lab fac","lab diagnostic","231"
"10027017720","lab fac","pathology","465"
"10027117828","lab fac","pathology","104"
"10027217890","lab fac","pathology","367"
"10027417954","maternity","fed qual health ctr","367"
"10027618061","maternity","fed qual health ctr","104"
"10027818065","neuromuscular ctr","speech path","104"
"10027918159","neuromuscular ctr","speech path","410"
"10028118165","nurse svc","non-phys","367"
"10028318295","nurse svc","non-phys","410"
"10028418301","optician","optical","104"
"10028618322","optician","optical","410"
"10028718365","optician","optical","410"
"10028818415","optician","optical","410"
"10029018470","optician","optical","367"
"10029218518","optician","optical","104"
"10029318602","optometrist","optical","104"
"10029518706","optometrist","optical","745"
"10029618826","optometrist","optical","367"
"10029718957","optometrist","optical","104"
"10029819081","optometrist","optical","104"
"10029919093","optometrist","optical","145"
"10030119123","optometrist","optical","104"
"10030319249","optometrist","optical","104"
"10030419281","optometrist","optical","410"
"10030619413","optometrist","optical","231"
"10030719450","optometrist","optical","104"
"10030819505","optometrist","optical","465"
"10031019588","optometrist","optical","367"
"10031119675","optometrist","optical","410"
"10031219695","optometrist","optical","234"
"10031319707","optometrist","optical","410"
"10031419798","optometrist","optical","104"
"10031519835","optometrist","optical","367"
"10031619859","optometrist","optical","367"
"10031819931","optometrist","optical","104"
"10032020025","optometrist","optical","104"
"10032120088","optometrist","optical","410"
"10032320093","optometrist","optical","104"
"10032520149","optometrist","optical","410"
"10032720275","optometrist","optical","483"
"10032920305","optometrist","optical","410"
"10033020424","optometrist","optical","410"
"10033220529","optometrist","optical","104"
"10033420544","optometrist","optical","294"
"10033520623","optometrist","optical","410"
"10033720641","optometrist","optical","367"
"10033820698","oxy - cont","non-phys","410"
"10033920712","oxy - cont","non-phys","410"
"10034020783","oxy - noncontract","non-phys","410"
"10034120836","oxy - noncontract","non-phys","410"
"10034320856","oxy - noncontract","non-phys","410"
"10034420914","oxy - noncontract","non-phys","410"
"10034621016","pharmacist","non-phys","737"
"10034821023","pharmacist","non-phys","145"
"10035021154","pharmacist","non-phys","104"
"10035121201","pharmacist","non-phys","465"
"10035221271","pharmacist","non-phys","367"
"10035321394","pharmacist","non-phys","432"
"10035521486","pharmacist","non-phys","367"
"10035721515","pharmacist","non-phys","410"
"10035921526","pharmacist","non-phys","367"
"10036121558","pharmacist","non-phys","367"
"10036221643","pharmacist","non-phys","410"
"10036321763","pharmacist","non-phys","410"
"10036421804","pharmacist","non-phys","104"
"10036521819","pharmacist","non-phys","104"
"10036621836","pharmacist","non-phys","393"
"10036821899","pharmacist","non-phys","104"
"10037022019","pharmacist","non-phys","104"
"10037122031","pharmacist","non-phys","410"
"10037322125","pharmacist","non-phys","104"
"10037522179","pharmacist","non-phys","410"
"10037622213","pharmacist","non-phys","104"
"10037722328","pharmacist","non-phys","410"
"10037922421","pharmacist","non-phys","410"
"10038122528","pharmacist","non-phys","104"
"10038322657","pharmacist","non-phys","410"
"10038422773","pharmacist","non-phys","465"
"10038622890","pharmacist","non-phys","104"
"10038722976","phys therapist","phys therapy","367"
"10038923016","phys therapist","phys therapy","367"
"10039123062","phys therapist","phys therapy","483"
"10039323097","phys therapist","phys therapy","104"
"10039523233","physician","cardiovasc","367"
"10039723353","physician","cardiovasc","367"
"10039923419","physician","cardiovasc","737"
"10040023449","physician","cardiovasc","104"
"10040123508","physician","cardiovasc","367"
"10040323563","physician","clinic","367"
"10040523657","physician","clinic","104"
"10040623683","physician","clinic","410"
"10040823704","physician","clinic","104"
"10040923760","physician","clinic","367"
"10041023843","physician","clinic","111"
"10041223945","physician","clinic","367"
"10041324008","physician","clinic","367"
"10041524022","physician","clinic","367"
"10041724132","physician","clinic","104"
"10041924212","physician","clinic","104"
"10042124281","physician","clinic","104"
"10042224286","physician","clinic","737"
"10042424422","physician","clinic","465"
"10042624477","physician","clinic","367"
"10042824492","physician","clinic","367"
"10042924571","physician","clinic","104"
"10043124665","physician","clinic","410"
"10043224707","physician","clinic","234"
"10043324837","physician","clinic","104"
"10043524974","physician","clinic","745"
"10043624979","physician","clinic","744"
"10043725089","physician","clinic","104"
"10043825194","physician","clinic","523"
"10043925215","physician","clinic","367"
"10044025340","physician","clinic","745"
"10044225426","physician","clinic","367"
"10044425555","physician","clinic","104"
"10044625569","physician","clinic","294"
"10044825607","physician","clinic","410"
"10044925661","physician","clinic","410"
"10045125789","physician","clinic","432"
"10045225875","physician","clinic","410"
"10045325897","physician","clinic","410"
"10045526008","physician","clinic","367"
"10045626096","physician","clinic","104"
"10045826166","physician","clinic","410"
"10045926267","physician","clinic","367"
"10046026272","physician","clinic","367"
"10046226353","physician","clinic","465"
"10046426431","physician","clinic","104"
"10046626501","physician","clinic","104"
"10046826557","physician","clinic","104"
"10047026658","physician","clinic","410"
"10047226757","physician","clinic","410"
"10047326825","physician","clinic","145"
"10047526855","physician","clinic","367"
"10047726900","physician","clinic","104"
"10047926947","physician","clinic","410"
"10048126964","physician","clinic","104"
"10048327034","physician","clinic","393"
"10048527144","physician","clinic","367"
"10048627229","physician","clinic","104"
"10048827254","physician","clinic","367"
"10049027320","physician","clinic","367"
"10049127383","physician","clinic","238"
"10049327402","physician","clinic","104"
"10049427423","physician","clinic","67"
"10049627535","physician","clinic","145"
"10049727670","physician","clinic","410"
"10049827671","physician","clinic","393"
"10050027706","physician","clinic","410"
"10050227785","physician","clinic","104"
"10050327860","physician","clinic","367"
"10050427988","physician","clinic","234"
"10050628077","physician","clinic","67"
"10050728175","physician","clinic","410"
"10050828267","physician","clinic","367"
"10051028333","physician","clinic","145"
"10051228432","physician","clinic","367"
"10051428524","physician","dermatology","67"
"10051628551","physician","dermatology","410"
"10051728648","physician","dermatology","410"
"10051828685","physician","dermatology","410"
"10051928815","physician","dermatology","104"
"10052028824","physician","endocrinology","410"
"10052128954","physician","endocrinology","367"
"10052328959","physician","ent","410"
"10052528988","physician","ent","104"
"10052629059","physician","ent","367"
"10052729184","physician","ent","367"
"10052829281","physician","ent","410"
"10052929315","physician","fam pract","104"
"10053129421","physician","fam pract","393"
"10053329492","physician","fam pract","523"
"10053429625","physician","fam pract","104"
"10053629628","physician","fam pract","104"
"10053729666","physician","fam pract","104"
"10053829786","physician","fam pract","367"
"10054029859","physician","fam pract","410"
"10054229953","physician","fam pract","231"
"10054430033","physician","fam pract","111"
"10054630063","physician","fam pract","410"
"10054830178","physician","fam pract","475"
"10055030315","physician","fam pract","367"
"10055230360","physician","fam pract","410"
"10055430476","physician","fam pract","367"
"10055530504","physician","fam pract","367"
"10055630600","physician","fam pract","145"
"10055830671","physician","fam pract","238"
"10056030681","physician","fam pract","367"
"10056230691","physician","fam pract","410"
"10056330828","physician","fam pract","367"
"10056430934","physician","fam pract","410"
"10056630980","physician","fam pract","367"
"10056831054","physician","fed qual health ctr","104"
"10057031170","physician","fed qual health ctr","104"
"10057231208","physician","fed qual health ctr","231"
"10057431314","physician","fed qual health ctr","111"
"10057631334","physician","fed qual health ctr","145"
"10057731450","physician","fed qual health ctr","104"
"10057931495","physician","fed qual health ctr","483"
"10058131568","physician","fed qual health ctr","432"
"10058231674","physician","fed qual health ctr","104"
"10058431790","physician","fed qual health ctr","104"
"10058631836","physician","fed qual health ctr","410"
"10058731902","physician","fed qual health ctr","367"
"10058931998","physician","fed qual health ctr","410"
"10059032116","physician","gastroent","410"
"10059132161","physician","gastroent","238"
"10059232164","physician","gastroent","367"
"10059332192","physician","gen pract","367"
"10059532256","physician","gen pract","104"
"10059732345","physician","gen pract","104"
"10059932355","physician","gen pract","367"
"10060132429","physician","gen pract","744"
"10060332483","physician","gen pract","483"
"10060432539","physician","gen pract","104"
"10060532656","physician","gen pract","67"
"10060632747","physician","gen pract","67"
"10060832862","physician","gen pract","367"
"10060932935","physician","gen pract","104"
"10061032940","physician","gen pract","104"
"10061232966","physician","gen pract","367"
"10061433079","physician","gen pract","410"
"10061633122","physician","gen pract","475"
"10061733200","physician","gen pract","410"
"10061833279","physician","gen surg","475"
"10062033398","physician","gen surg","367"
"10062233515","physician","gen surg","367"
"10062333579","physician","gen surg","410"
"10062433673","physician","gen surg","67"
"10062533682","physician","int medicine","367"
"10062733773","physician","int medicine","475"
"10062933881","physician","int medicine","410"
"10063134005","physician","int medicine","367"
"10063334089","physician","int medicine","145"
"10063534150","physician","int medicine","367"
"10063734280","physician","int medicine","410"
"10063834332","physician","int medicine","410"
"10064034352","physician","int medicine","410"
"10064134460","physician","int medicine","367"
"10064334492","physician","int medicine","744"
"10064434529","physician","int medicine","104"
"10064634626","physician","int medicine","104"
"10064734634","physician","int medicine","238"
"10064834726","physician","int medicine","104"
"10065034780","physician","int medicine","104"
"10065234838","physician","int medicine","238"
"10065334962","physician","int medicine","104"
"10065435056","physician","nephrology","367"
"10065635101","physician","neuro surg","367"
"10065735225","physician","neuro surg","410"
"10065935337","physician","neurology","465"
"10066035425","physician","neurology","744"
"10066135547","physician","neurology","367"
"10066235643","physician","neurology","104"
"10066335693","physician","neurology","104"
"10066435755","physician","neurology","410"
"10066535874","physician","neurology","104"
"10066736006","physician","neurology","111"
"10066836058","physician","neurology","145"
"10066936079","physician","ob-gyn","367"
"10067136084","physician","ob-gyn","410"
"10067236220","physician","ob-gyn","104"
"10067336296","physician","ob-gyn","367"
"10067536307","physician","ob-gyn","367"
"10067736324","physician","ob-gyn","410"
"10067936427","physician","ob-gyn","410"
"10068136558","physician","oncology","234"
"10068336679","physician","oncology","367"
"10068436692","physician","ophthalmology","104"
"10068536733","physician","ophthalmology","432"
"10068636767","physician","ophthalmology","367"
"10068836775","physician","ophthalmology","367"
"10068936908","physician","ophthalmology","410"
"10069136986","physician","ophthalmology","745"
"10069237081","physician","ophthalmology","367"
"10069437133","physician","ophthalmology","104"
"10069637163","physician","ophthalmology","483"
"10069837174","physician","ophthalmology","410"
"10069937205","physician","ophthalmology","104"
"10070037216","physician","ophthalmology","294"
"10070137303","physician","ophthalmology","393"
"10070337389","physician","ophthalmology","475"
"10070437517","physician","ophthalmology","410"
"10070637519","physician","ortho surgery","393"
"10070837536","physician","ortho surgery","410"
"10071037612","physician","ortho surgery","410"
"10071137614","physician","ortho surgery","367"
"10071337645","physician","ortho surgery","104"
"10071537690","physician","ortho surgery","410"
"10071737788","physician","ortho surgery","410"
"10071937801","physician","ortho surgery","410"
"10072137802","physician","ortho surgery","410"
"10072337865","physician","pathology","367"
"10072437970","physician","pathology","294"
"10072638087","physician","pathology","367"
"10072838193","physician","pathology","744"
"10073038221","physician","pediatrics","475"
"10073138353","physician","pediatrics","104"
"10073238409","physician","pediatrics","523"
"10073338460","physician","phys rehab","744"
"10073438590","physician","phys rehab","104"
"10073638645","physician","phys rehab","104"
"10073838650","physician","pulmonary","145"
"10073938672","physician","pulmonary","367"
"10074138788","physician","radiology","410"
"10074338910","physician","radiology","737"
"10074438993","physician","radiology","104"
"10074639052","physician","radiology","111"
"10074839173","physician","radiology","410"
"10074939188","physician","radiology","410"
"10075039240","physician","radiology","104"
"10075239352","physician","radiology","367"
"10075439371","physician","radiology","238"
"10075539503","physician","radiology","67"
"10075739535","physician","radiology","367"
"10075939542","physician","radiology","367"
"10076039574","physician","radiology","367"
"10076239686","physician","radiology","104"
"10076339716","physician","radiology","410"
"10076539850","physician","radiology","104"
"10076739936","physician","radiology","104"
"10076839964","physician","radiology","367"
"10076940004","physician","radiology","294"
"10077140010","physician","radiology","104"
"10077240143","physician","radiology","367"
"10077440222","physician","radiology","410"
"10077640295","physician","radiology","367"
"10077740355","physician","radiology","410"
"10077840373","podiatrist","podiatry","104"
"10077940398","podiatrist","podiatry","104"
"10078140452","podiatrist","podiatry","104"
"10078240581","podiatrist","podiatry","367"
"10078340593","podiatrist","podiatry","410"
"10078540611","podiatrist","podiatry","294"
"10078640622","podiatrist","podiatry","367"
"10078740731","podiatrist","podiatry","104"
"10078840832","podiatrist","podiatry","483"
"10078940956","podiatrist","podiatry","234"
"10079041051","podiatrist","podiatry","410"
"10079241162","podiatrist","podiatry","367"
"10079341164","podiatrist","podiatry","367"
"10079441184","prsth/ortho","med supply","367"
"10079641267","prsth/ortho","med supply","367"
"10079841383","prsth/ortho","med supply","744"
"10080041470","prsth/ortho","med supply","104"
"10080141472","prsth/ortho","med supply","410"
"10080341484","prsth/ortho","med supply","410"
"10080541605","prsth/ortho","med supply","104"
"10080741739","prsth/ortho","med supply","104"
"10080841822","prsth/ortho","med supply","410"
"10080941942","prsth/ortho","med supply","410"
"10081041958","psychiatrist","psychiatry","475"
"10081241991","psychiatrist","psychiatry","367"
"10081441994","psychiatrist","psychiatry","410"
"10081641997","psychiatrist","psychiatry","945"
"10081742006","psychiatrist","psychiatry","410"
"10081842119","psychiatrist","psychiatry","367"
"10082042148","psychiatrist","psychiatry","367"
"10082142211","psychiatrist","psychiatry","104"
"10082342322","psychiatrist","psychiatry","367"
"10082442364","psychiatrist","psychiatry","367"
"10082642467","psychiatrist","psychiatry","410"
"10082842505","psychiatrist","psychiatry","410"
"10083042600","psychiatrist","psychiatry","67"
"10083242722","psychiatrist","psychiatry","410"
"10083442851","psychiatrist","psychiatry","410"
"10083642887","psychologist","psychology","945"
"10083842999","radiology","radiology","367"
"10084043023","school dist","non-phys","737"
"10084243134","school dist","non-phys","745"
"10084343243","school dist","non-phys","367"
"10084443260","school dist","non-phys","104"
"10084643350","school dist","non-phys","367"
"10084843479","school dist","non-phys","410"
"10084943603","substance abuse","clinic","523"
"10085043644","substance abuse","clinic","111"
"10085243662","substance abuse","clinic","104"
"10085343787","substance abuse","clinic","367"
"10085543879","substance abuse","clinic","483"
"10085643958","substance abuse","clinic","367"
"10085843968","trans amb only","med trans","367"
"10085944077","trans amb only","med trans","367"
"10086044118","trans amb only","med trans","475"
"10086244135","trans amb only","med trans","367"
